date_id,date,year,month,month_name,quarter
1,2022-01-01,2022,1,Jan,1
2,2022-01-02,2022,1,Jan,1
3,2022-01-03,2022,1,Jan,1
4,2022-01-04,2022,1,Jan,1
5,2022-01-05,2022,1,Jan,1
6,2022-01-06,2022,1,Jan,1
7,2022-01-07,2022,1,Jan,1
8,2022-01-08,2022,1,Jan,1
9,2022-01-09,2022,1,Jan,1
10,2022-01-10,2022,1,Jan,1
11,2022-01-11,2022,1,Jan,1
12,2022-01-12,2022,1,Jan,1
13,2022-01-13,2022,1,Jan,1
14,2022-01-14,2022,1,Jan,1
15,2022-01-15,2022,1,Jan,1
16,2022-01-16,2022,1,Jan,1
17,2022-01-17,2022,1,Jan,1
18,2022-01-18,2022,1,Jan,1
19,2022-01-19,2022,1,Jan,1
20,2022-01-20,2022,1,Jan,1
21,2022-01-21,2022,1,Jan,1
22,2022-01-22,2022,1,Jan,1
23,2022-01-23,2022,1,Jan,1
24,2022-01-24,2022,1,Jan,1
25,2022-01-25,2022,1,Jan,1
26,2022-01-26,2022,1,Jan,1
27,2022-01-27,2022,1,Jan,1
28,2022-01-28,2022,1,Jan,1
29,2022-01-29,2022,1,Jan,1
30,2022-01-30,2022,1,Jan,1
31,2022-01-31,2022,1,Jan,1
32,2022-02-01,2022,2,Feb,1
33,2022-02-02,2022,2,Feb,1
34,2022-02-03,2022,2,Feb,1
35,2022-02-04,2022,2,Feb,1
36,2022-02-05,2022,2,Feb,1
37,2022-02-06,2022,2,Feb,1
38,2022-02-07,2022,2,Feb,1
39,2022-02-08,2022,2,Feb,1
40,2022-02-09,2022,2,Feb,1
41,2022-02-10,2022,2,Feb,1
42,2022-02-11,2022,2,Feb,1
43,2022-02-12,2022,2,Feb,1
44,2022-02-13,2022,2,Feb,1
45,2022-02-14,2022,2,Feb,1
46,2022-02-15,2022,2,Feb,1
47,2022-02-16,2022,2,Feb,1
48,2022-02-17,2022,2,Feb,1
49,2022-02-18,2022,2,Feb,1
50,2022-02-19,2022,2,Feb,1
51,2022-02-20,2022,2,Feb,1
52,2022-02-21,2022,2,Feb,1
53,2022-02-22,2022,2,Feb,1
54,2022-02-23,2022,2,Feb,1
55,2022-02-24,2022,2,Feb,1
56,2022-02-25,2022,2,Feb,1
57,2022-02-26,2022,2,Feb,1
58,2022-02-27,2022,2,Feb,1
59,2022-02-28,2022,2,Feb,1
60,2022-03-01,2022,3,Mar,1
61,2022-03-02,2022,3,Mar,1
62,2022-03-03,2022,3,Mar,1
63,2022-03-04,2022,3,Mar,1
64,2022-03-05,2022,3,Mar,1
65,2022-03-06,2022,3,Mar,1
66,2022-03-07,2022,3,Mar,1
67,2022-03-08,2022,3,Mar,1
68,2022-03-09,2022,3,Mar,1
69,2022-03-10,2022,3,Mar,1
70,2022-03-11,2022,3,Mar,1
71,2022-03-12,2022,3,Mar,1
72,2022-03-13,2022,3,Mar,1
73,2022-03-14,2022,3,Mar,1
74,2022-03-15,2022,3,Mar,1
75,2022-03-16,2022,3,Mar,1
76,2022-03-17,2022,3,Mar,1
77,2022-03-18,2022,3,Mar,1
78,2022-03-19,2022,3,Mar,1
79,2022-03-20,2022,3,Mar,1
80,2022-03-21,2022,3,Mar,1
81,2022-03-22,2022,3,Mar,1
82,2022-03-23,2022,3,Mar,1
83,2022-03-24,2022,3,Mar,1
84,2022-03-25,2022,3,Mar,1
85,2022-03-26,2022,3,Mar,1
86,2022-03-27,2022,3,Mar,1
87,2022-03-28,2022,3,Mar,1
88,2022-03-29,2022,3,Mar,1
89,2022-03-30,2022,3,Mar,1
90,2022-03-31,2022,3,Mar,1
91,2022-04-01,2022,4,Apr,2
92,2022-04-02,2022,4,Apr,2
93,2022-04-03,2022,4,Apr,2
94,2022-04-04,2022,4,Apr,2
95,2022-04-05,2022,4,Apr,2
96,2022-04-06,2022,4,Apr,2
97,2022-04-07,2022,4,Apr,2
98,2022-04-08,2022,4,Apr,2
99,2022-04-09,2022,4,Apr,2
100,2022-04-10,2022,4,Apr,2
101,2022-04-11,2022,4,Apr,2
102,2022-04-12,2022,4,Apr,2
103,2022-04-13,2022,4,Apr,2
104,2022-04-14,2022,4,Apr,2
105,2022-04-15,2022,4,Apr,2
106,2022-04-16,2022,4,Apr,2
107,2022-04-17,2022,4,Apr,2
108,2022-04-18,2022,4,Apr,2
109,2022-04-19,2022,4,Apr,2
110,2022-04-20,2022,4,Apr,2
111,2022-04-21,2022,4,Apr,2
112,2022-04-22,2022,4,Apr,2
113,2022-04-23,2022,4,Apr,2
114,2022-04-24,2022,4,Apr,2
115,2022-04-25,2022,4,Apr,2
116,2022-04-26,2022,4,Apr,2
117,2022-04-27,2022,4,Apr,2
118,2022-04-28,2022,4,Apr,2
